Gene stable ID,Gene name,FlyBase annotation ID,Gene type,Gene description
FBgn0265728,CR44535,CR44535,ncRNA,CR44535
FBgn0259708,CG42362,CG42362,protein_coding,CG42362
FBgn0264875,CR44066,CR44066,ncRNA,CR44066
FBgn0085303,CG34274,CG34274,protein_coding,CG34274
FBgn0266944,CR45395,CR45395,ncRNA,CR45395
FBgn0266380,CR45022,CR45022,ncRNA,CR45022
FBgn0032374,CG14931,CG14931,protein_coding,CG14931
FBgn0066114,GlcAT-I,CG32775,protein_coding,Glucuronyltransferase I
FBgn0085790,CR41507,CR41507,pseudogene,CR41507
FBgn0033902,eIF3m,CG8309,protein_coding,eukaryotic translation initiation factor 3 subunit m
FBgn0083049,Psi18S-1377c,CR34627,snoRNA,Psi18S-1377c
FBgn0035097,CG13405,CG13405,protein_coding,CG13405
FBgn0026566,CG1307,CG1307,protein_coding,CG1307
FBgn0051148,Gba1a,CG31148,protein_coding,Glucocerebrosidase 1a
FBgn0285912,mah,CG13646,protein_coding,mahogany
FBgn0036323,CG14118,CG14118,protein_coding,CG14118
FBgn0014464,Cp7Fa,CG33962,protein_coding,Chorion protein a at 7F
FBgn0003231,ref(2)P,CG10360,protein_coding,refractory to sigma P
FBgn0053191,CG33191,CG33191,protein_coding,CG33191
FBgn0011877,His-GTG-2-1Psi,CR30253,pseudogene,Histidine-GTG 2-1 pseudogene
FBgn0044812,TotC,CG31508,protein_coding,Turandot C
FBgn0039675,ppk21,CG12048,protein_coding,pickpocket 21
FBgn0053476,CG33476,CG33476,protein_coding,CG33476
FBgn0051718,Ir31a,CG31718,protein_coding,Ionotropic receptor 31a
FBgn0263871,CR43718,CR43718,ncRNA,CR43718
FBgn0020224,Cbl,CG7037,protein_coding,Cbl proto-oncogene
FBgn0266691,CR45181,CR45181,ncRNA,CR45181
FBgn0039482,CG14258,CG14258,protein_coding,CG14258
FBgn0038638,CG7702,CG7702,protein_coding,CG7702
FBgn0052857,CG32857,CG32857,protein_coding,CG32857
FBgn0084008,CR41443,CR41443,ncRNA,CR41443
FBgn0267052,CR45496,CR45496,pseudogene,CR45496
FBgn0284248,Cyt-c-p,CG17903,protein_coding,Cytochrome c proximal
FBgn0039654,Brd8,CG14514,protein_coding,Bromodomain containing 8
FBgn0034261,HPS4,CG4966,protein_coding,Hermansky-Pudlak Syndrome 4
FBgn0030985,Obp18a,CG15883,protein_coding,Odorant-binding protein 18a
FBgn0036620,CG4842,CG4842,protein_coding,CG4842
FBgn0261562,CG42676,CG42676,protein_coding,CG42676
FBgn0265898,CR44687,CR44687,ncRNA,CR44687
FBgn0266787,CR45252,CR45252,ncRNA,CR45252
FBgn0034755,CG3746,CG3746,protein_coding,CG3746
FBgn0011893,Lys-CTT-1-7,CR30301,tRNA,Lysine-CTT 1-7
FBgn0030688,CG8952,CG8952,protein_coding,CG8952
FBgn0036443,CG13471,CG13471,protein_coding,CG13471
FBgn0036109,Cpr67Fa2,CG18349,protein_coding,Cuticular protein 67Fa2
FBgn0034908,CG5543,CG5543,protein_coding,CG5543
FBgn0037779,CG12811,CG12811,protein_coding,CG12811
FBgn0285966,1,CR46341,ncRNA,hairpin RNA 1
FBgn0085367,CG34338,CG34338,protein_coding,CG34338
FBgn0053867,CR33867,CR33867,pseudogene,CR33867
FBgn0038608,WRNexo,CG7670,protein_coding,WRN exonuclease
FBgn0033907,mRpS16,CG8338,protein_coding,mitochondrial ribosomal protein S16
FBgn0032322,CG16743,CG16743,protein_coding,CG16743
FBgn0046706,Haspin,CG40080,protein_coding,Haspin
FBgn0010223,Galphaf,CG12232,protein_coding,G protein alpha subunit f
FBgn0025644,CG14424,CG14424,protein_coding,CG14424
FBgn0034693,flap,CG11073,protein_coding,flapper
FBgn0052289,Cys-GCA-1-2,CR32289,tRNA,Cysteine-GCA 1-2
FBgn0026196,nop5,CG10206,protein_coding,nop5
FBgn0030695,PGRP-LE,CG8995,protein_coding,Peptidoglycan recognition protein LE
FBgn0262203,mir-967,CR42910,ncRNA,mir-967 stem loop
FBgn0082995,Psi28S-1837b,CR34639,snoRNA,Psi28S-1837b
FBgn0036481,CG16959,CG16959,protein_coding,CG16959
FBgn0086694,Bre1,CG10542,protein_coding,Bre1
FBgn0004177,mts,CG7109,protein_coding,microtubule star
FBgn0032877,CG2617,CG2617,protein_coding,CG2617
FBgn0262182,mir-957,CR42889,ncRNA,mir-957 stem loop
FBgn0050416,CG30416,CG30416,protein_coding,CG30416
FBgn0038837,KaiR1D,CG3822,protein_coding,Kainate-type ionotropic glutamate receptor subunit 1D
FBgn0001986,Mtr4,CG4152,protein_coding,Mtr4 helicase
FBgn0045468,Gr93d,CG31335,protein_coding,Gustatory receptor 93d
FBgn0032400,CG6770,CG6770,protein_coding,CG6770
FBgn0283461,Drs,CG10810,protein_coding,Drosomycin
FBgn0259959,Sfp26Ac,CG42469,protein_coding,Seminal fluid protein 26Ac
FBgn0027527,Osi6,CG1151,protein_coding,Osiris 6
FBgn0037878,CG6693,CG6693,protein_coding,CG6693
FBgn0010926,l(3)07882,CG5824,protein_coding,lethal (3) 07882
FBgn0030678,CG11679,CG11679,protein_coding,CG11679
FBgn0263005,Chpf,CG43313,protein_coding,Chondroitin polymerizing factor
FBgn0267922,CR46203,CR46203,ncRNA,CR46203
FBgn0263851,CD-24,CR43712,snoRNA,CR43712
FBgn0036128,Elo68beta,CG11801,protein_coding,Elongase 68beta
FBgn0035208,CG9184,CG9184,protein_coding,CG9184
FBgn0000542,ec,CG2904,protein_coding,echinus
FBgn0053283,CR33283,CR33283,pseudogene,CR33283
FBgn0034580,Cht8,CG9357,protein_coding,Chitinase 8
FBgn0000377,crn,CG3193,protein_coding,crooked neck
FBgn0019990,Gcn2,CG1609,protein_coding,Gcn2
FBgn0028540,CG9008,CG9008,protein_coding,CG9008
FBgn0263697,Uba3,CG13343,protein_coding,Ubiquitin-like activating enzyme 3
FBgn0038581,CG14314,CG14314,protein_coding,CG14314
FBgn0028850,CG15260,CG15260,protein_coding,CG15260
FBgn0264902,CR44093,CR44093,ncRNA,CR44093
FBgn0034759,CG13511,CG13511,protein_coding,CG13511
FBgn0053108,CG33108,CG33108,protein_coding,CG33108
FBgn0033243,CG14763,CG14763,protein_coding,CG14763
FBgn0003866,tsh,CG1374,protein_coding,teashirt
FBgn0031103,CG12679,CG12679,protein_coding,CG12679
FBgn0052988,CG32988,CG32988,protein_coding,CG32988
FBgn0264693,ens,CG14998,protein_coding,ensconsin
FBgn0052451,SPoCk,CG32451,protein_coding,Secretory Pathway Calcium atpase
FBgn0011934,Asn-GTT-1-8,CR30319,tRNA,Asparagine-GTT 1-8
FBgn0031831,COX5BL,CG11043,protein_coding,Cytochrome c oxidase subunit 5B-like
FBgn0034664,CG4377,CG4377,protein_coding,CG4377
FBgn0086063,Me28S-C788a,CR34692,snoRNA,CR34692
FBgn0267347,squ,CG4711,protein_coding,squash
FBgn0267587,CR45925,CR45925,ncRNA,CR45925
FBgn0053883,CG33883,CG33883,protein_coding,CG33883
FBgn0015600,toc,CG9660,protein_coding,toucan
FBgn0265849,CR44638,CR44638,ncRNA,CR44638
FBgn0284229,CG46313,CG46313,protein_coding,CG46313
FBgn0039461,CG5500,CG5500,protein_coding,CG5500
FBgn0267658,CR45996,CR45996,ncRNA,CR45996
FBgn0284230,CG46314,CG46314,protein_coding,CG46314
FBgn0051454,CG31454,CG31454,protein_coding,CG31454
FBgn0264993,CR44144,CR44144,ncRNA,CR44144
FBgn0015320,Ubc2,CG6720,protein_coding,Ubiquitin conjugating enzyme 2
FBgn0029603,CG14053,CG14053,protein_coding,CG14053
FBgn0267933,CR46213,CR46213,ncRNA,CR46213
FBgn0053826,CG33826,CG33826,protein_coding,CG33826
FBgn0042693,wrd,CG7913,protein_coding,well-rounded
FBgn0030013,GIIIspla2,CG1583,protein_coding,Phospholipase A2 group III
FBgn0263324,CG43405,CG43405,protein_coding,CG43405
FBgn0265470,CR44363,CR44363,ncRNA,CR44363
FBgn0053411,CR33411,CR33411,rRNA,CR33411
FBgn0259992,CG42489,CG42489,protein_coding,CG42489
FBgn0039066,EloA,CG6755,protein_coding,Elongin A
FBgn0053963,CR33963,CR33963,ncRNA,CR33963
FBgn0003463,sog,CG9224,protein_coding,short gastrulation
FBgn0265591,CR44418,CR44418,ncRNA,CR44418
FBgn0034366,Atg7,CG5489,protein_coding,Autophagy-related 7
FBgn0063498,GstE2,CG17523,protein_coding,Glutathione S transferase E2
FBgn0031399,mio,CG7074,protein_coding,missing oocyte
FBgn0029935,CG4615,CG4615,protein_coding,CG4615
FBgn0052192,CG32192,CG32192,protein_coding,CG32192
FBgn0050098,CG30098,CG30098,protein_coding,CG30098
FBgn0030098,CG12057,CG12057,protein_coding,CG12057
FBgn0037325,CG12147,CG12147,protein_coding,CG12147
FBgn0011570,cpb,CG17158,protein_coding,capping protein beta
FBgn0267252,Ggamma30A,CG3694,protein_coding,G protein gamma subunit 30A
FBgn0267209,CR45649,CR45649,ncRNA,CR45649
FBgn0051845,CR31845,CR31845,ncRNA,CR31845
FBgn0052588,CG32588,CG32588,protein_coding,CG32588
FBgn0053893,CG33893,CG33893,protein_coding,CG33893
FBgn0028416,Met75Ca,CG32197,protein_coding,Met75Ca
FBgn0053247,CG33247,CG33247,protein_coding,CG33247
FBgn0004511,dy,CG9355,protein_coding,dusky
FBgn0035753,RpL18,CG8615,protein_coding,Ribosomal protein L18
FBgn0013680,ND2,CG34063,protein_coding,mitochondrial NADH-ubiquinone oxidoreductase chain 2
FBgn0037100,CapaR,CG14575,protein_coding,Capability receptor
FBgn0000017,Abl,CG4032,protein_coding,Abl tyrosine kinase
FBgn0266255,CR44950,CR44950,ncRNA,CR44950
FBgn0086662,Psi28S-3186,CR33709,snoRNA,Psi28S-3186
FBgn0262721,CG43165,CG43165,protein_coding,CG43165
FBgn0032455,Pih1D1,CG5792,protein_coding,PIH1 domain containing 1
FBgn0032505,CG16826,CG16826,protein_coding,CG16826
FBgn0031716,CG14015,CG14015,protein_coding,CG14015
FBgn0028509,CenG1A,CG31811,protein_coding,Centaurin gamma 1A
FBgn0038130,CG8630,CG8630,protein_coding,CG8630
FBgn0051133,Slimp,CG31133,protein_coding,Seryl-tRNA synthetase-like insect mitochondrial protein
FBgn0032750,Dus4,CG10495,protein_coding,Dihydrouridine synthase 4
FBgn0038607,hmw,CG7669,protein_coding,hemingway
FBgn0031650,synr,CG14044,protein_coding,sayonara
FBgn0051604,Asp-GTC-1-4,CR31604,tRNA,Aspartic acid-GTC 1-4
FBgn0039264,CG11786,CG11786,protein_coding,CG11786
FBgn0023517,Pgam5,CG14816,protein_coding,Phosphoglycerate mutase 5
FBgn0265508,CR44370,CR44370,ncRNA,CR44370
FBgn0287217,CR46447,CR46447,pseudogene,CR46447
FBgn0265457,CR44357,CR44357,ncRNA,CR44357
FBgn0019661,roX1,CR32777,ncRNA,long non-coding RNA on the X 1
FBgn0265751,CR44558,CR44558,ncRNA,CR44558
FBgn0015831,Rtnl2,CG1279,protein_coding,Rtnl2
FBgn0267712,CR46045,CR46045,ncRNA,CR46045
FBgn0032650,CG7094,CG7094,protein_coding,CG7094
FBgn0020638,Lcp65Ag1,CG10530,protein_coding,Lcp65Ag1
FBgn0033566,CG18004,CG18004,protein_coding,CG18004
FBgn0031800,CG9497,CG9497,protein_coding,CG9497
FBgn0038965,mats,CG13852,protein_coding,mob as tumor suppressor
FBgn0053241,CG33241,CG33241,protein_coding,CG33241
FBgn0031049,Sec61gamma,CG14214,protein_coding,Sec61 gamma subunit
FBgn0038047,CG5245,CG5245,protein_coding,CG5245
FBgn0026401,Nipped-B,CG17704,protein_coding,Nipped-B
FBgn0260466,Indy-2,CG33933,protein_coding,I'm not dead yet 2
FBgn0017551,Rca1,CG10800,protein_coding,Regulator of cyclin A1
FBgn0260012,pds5,CG17509,protein_coding,precocious dissociation of sisters 5
FBgn0285949,RpL31,CG1821,protein_coding,Ribosomal protein L31
FBgn0004363,porin,CG6647,protein_coding,porin
FBgn0011225,jar,CG5695,protein_coding,jaguar
FBgn0000339,cni,CG5855,protein_coding,cornichon
FBgn0027567,Ciz1,CG8108,protein_coding,Ciz1 zinc finger protein
FBgn0052495,Gss2,CG32495,protein_coding,Glutathione synthetase 2
FBgn0287614,CR46483,CR46483,ncRNA,CR46483
FBgn0035518,CG15011,CG15011,protein_coding,CG15011
FBgn0038401,CG5916,CG5916,protein_coding,CG5916
FBgn0011737,Wee1,CG4488,protein_coding,Wee1 kinase
FBgn0010220,Dbp45A,CG12759,protein_coding,DEAD box protein 45A
FBgn0031822,Phf5a,CG9548,protein_coding,PHD finger protein 5a
FBgn0262510,CR43080,CR43080,pseudogene,CR43080
FBgn0035750,CG14826,CG14826,protein_coding,CG14826
FBgn0287602,CR46471,CR46471,ncRNA,CR46471
FBgn0032864,CG2493,CG2493,protein_coding,CG2493
FBgn0036888,CG9330,CG9330,protein_coding,CG9330
FBgn0267675,CR46011,CR46011,ncRNA,CR46011
FBgn0264378,CR43830,CR43830,ncRNA,CR43830
FBgn0265944,CR44731,CR44731,ncRNA,CR44731
FBgn0038321,Nagk,CG6218,protein_coding,N-acetylglucosamine kinase
FBgn0051944,Gln-CTG-2-3,CR31944,tRNA,Glutamine-CTG 2-3
FBgn0267271,CR45707,CR45707,ncRNA,CR45707
FBgn0033508,Obp46a,CG12905,protein_coding,Odorant-binding protein 46a
FBgn0045470,Gr93b,CG31336,protein_coding,Gustatory receptor 93b
FBgn0028579,phtf,CG3268,protein_coding,phtf
FBgn0032979,Clamp,CG1832,protein_coding,Chromatin-linked adaptor for MSL proteins
FBgn0263200,Galt,CG9232,protein_coding,Galactose-1-phosphate uridylyltransferase
FBgn0265000,CR44151,CR44151,ncRNA,CR44151
FBgn0037743,Alg12,CG8412,protein_coding,"Alg12 alpha-1,6-mannosyltransferase"
FBgn0267645,CR45983,CR45983,ncRNA,CR45983
FBgn0052091,CG32091,CG32091,protein_coding,CG32091
FBgn0035468,Gr63a,CG14979,protein_coding,Gustatory receptor 63a
FBgn0036910,Cyp305a1,CG8733,protein_coding,Cytochrome P450 305a1
FBgn0058298,CG40298,CG40298,protein_coding,CG40298
FBgn0261356,CG42633,CG42633,protein_coding,CG42633
FBgn0053642,CG33642,CG33642,protein_coding,CG33642
FBgn0052481,Ile-TAT-1-2,CR32481,tRNA,Isoleucine-TAT 1-2
FBgn0264473,CR43881,CR43881,ncRNA,CR43881
FBgn0032770,CG13086,CG13086,protein_coding,CG13086
FBgn0267762,CR46093,CR46093,ncRNA,CR46093
FBgn0260463,Unc-115b,CG31332,protein_coding,Uncoordinated 115b
FBgn0035283,CG12024,CG12024,protein_coding,CG12024
FBgn0052654,Sec16,CG32654,protein_coding,Secretory 16
FBgn0034649,PIG-M,CG9865,protein_coding,Phosphatidylinositol glycan anchor biosynthesis class M
FBgn0266250,CR44945,CR44945,ncRNA,CR44945
FBgn0287788,Datp,CG31713,protein_coding,Diadenosine tetraphosphatase
FBgn0004865,Eip78C,CG18023,protein_coding,Ecdysone-induced protein 78C
FBgn0265166,CR44235,CR44235,ncRNA,CR44235
FBgn0267940,CR46220,CR46220,ncRNA,CR46220
FBgn0001185,her,CG4694,protein_coding,hermaphrodite
FBgn0010421,TfIIFbeta,CG6538,protein_coding,Transcription factor TFIIFbeta
FBgn0264545,CG43924,CG43924,protein_coding,CG43924
FBgn0030608,Lsd-2,CG9057,protein_coding,Lipid storage droplet-2
FBgn0085570,CR41243,CR41243,pseudogene,CR41243
FBgn0035455,CG10862,CG10862,protein_coding,CG10862
FBgn0038158,CG14370,CG14370,protein_coding,CG14370
FBgn0035685,CG13297,CG13297,protein_coding,CG13297
FBgn0011741,Arp6,CG11678,protein_coding,Actin-related protein 6
FBgn0053318,CR33318,CR33318,pseudogene,CR33318
FBgn0051961,Tbcc,CG31961,protein_coding,Tubulin-binding cofactor C
FBgn0266129,lov,CG16778,protein_coding,jim lovell
FBgn0264724,CR43992,CR43992,ncRNA,CR43992
FBgn0266214,CR44909,CR44909,ncRNA,CR44909
FBgn0267539,CR45879,CR45879,pseudogene,CR45879
FBgn0085477,CG34448,CG34448,protein_coding,CG34448
FBgn0284222,CG46306,CG46306,protein_coding,CG46306
FBgn0028952,Kebab,CG31672,protein_coding,Kinetochore and EB1 associated basic protein
FBgn0011476,l(3)neo43,CG14865,protein_coding,lethal (3) neo43
FBgn0031774,CG9147,CG9147,protein_coding,CG9147
FBgn0264294,Cyt-b5,CG2140,protein_coding,Cytochrome b5
FBgn0040805,CG12355,CG12355,protein_coding,CG12355
FBgn0259734,Nost,CG42388,protein_coding,Nostrin
FBgn0027525,LTV1,CG7686,protein_coding,LTV1 ribosome biogenesis factor
FBgn0034237,eIF3b,CG4878,protein_coding,eukaryotic translation initiation factor 3 subunit b
FBgn0053558,mim,CG33558,protein_coding,missing-in-metastasis
FBgn0267892,CR46180,CR46180,pseudogene,CR46180
FBgn0261858,Mzt1,CG42787,protein_coding,Mitotic spindle organizing protein 1
FBgn0032235,CG5096,CG5096,protein_coding,CG5096
FBgn0262608,CG43134,CG43134,protein_coding,CG43134
FBgn0028887,CG3491,CG3491,protein_coding,CG3491
FBgn0037463,djl,CG1984,protein_coding,don juan like
FBgn0266953,CR45404,CR45404,ncRNA,CR45404
FBgn0030722,CG12395,CG12395,protein_coding,CG12395
FBgn0000064,Ald1,CG6058,protein_coding,Aldolase 1
FBgn0051526,CR31526,CR31526,ncRNA,CR31526
FBgn0265096,CR44201,CR44201,ncRNA,CR44201
FBgn0034577,cpa,CG10540,protein_coding,capping protein alpha
FBgn0050389,CG30389,CG30389,protein_coding,CG30389
FBgn0250851,CG33981,CG33981,protein_coding,CG33981
FBgn0052418,vito,CG32418,protein_coding,viriato
FBgn0033739,Dyb,CG8529,protein_coding,Dystrobrevin
FBgn0032863,Cdc23,CG2508,protein_coding,Cell division cycle 23
FBgn0085288,Grl62c,CG34259,protein_coding,Gustatory receptor-like 62c
FBgn0030116,CR17438,CR17438,pseudogene,CR17438
FBgn0037498,CG10029,CG10029,protein_coding,CG10029
FBgn0058470,CG40470,CG40470,protein_coding,CG40470
FBgn0265341,CR44295,CR44295,ncRNA,CR44295
FBgn0051721,Trim9,CG31721,protein_coding,Tripartite motif containing 9
FBgn0263510,nclb,CG6751,protein_coding,no child left behind
FBgn0264375,CR43827,CR43827,ncRNA,CR43827
FBgn0051451,mimi,CR31451,ncRNA,mimi
FBgn0051729,CG31729,CG31729,protein_coding,CG31729
FBgn0260447,CR11386,CR11386,pseudogene,CR11386
FBgn0011883,Ile-AAT-1-5,CR30521,tRNA,Isoleucine-AAT 1-5
FBgn0033538,CG11883,CG11883,protein_coding,CG11883
FBgn0042098,CG18735,CG18735,protein_coding,CG18735
FBgn0263378,CR43430,CR43430,ncRNA,CR43430
FBgn0039404,CG14543,CG14543,protein_coding,CG14543
FBgn0265909,CR44698,CR44698,ncRNA,CR44698
FBgn0265540,CR44390,CR44390,ncRNA,CR44390
FBgn0266008,CR44781,CR44781,ncRNA,CR44781
FBgn0028569,robl37BC,CG15171,protein_coding,robl37BC
FBgn0037263,slx1,CG18271,protein_coding,nuclease slx1
FBgn0053398,CR33398,CR33398,rRNA,CR33398
FBgn0037644,CG11964,CG11964,protein_coding,CG11964
FBgn0266628,CR45135,CR45135,ncRNA,CR45135
FBgn0033108,CG15236,CG15236,protein_coding,CG15236
FBgn0035229,pns,CG7852,protein_coding,pinstripe
FBgn0037635,CG9837,CG9837,protein_coding,CG9837
FBgn0265650,CR44457,CR44457,ncRNA,CR44457
FBgn0033225,TTLL12,CG1550,protein_coding,Tubulin tyrosine ligase-like 12
FBgn0053744,430r,CR33744,ncRNA,small non-coding RNA 430r
FBgn0051081,TwdlR,CG31081,protein_coding,TweedleR
FBgn0043535,Obp57a,CG30141,protein_coding,Odorant-binding protein 57a
FBgn0030598,CG9503,CG9503,protein_coding,CG9503
FBgn0000411,D,CG5893,protein_coding,Dichaete
FBgn0034406,Jheh3,CG15106,protein_coding,Juvenile hormone epoxide hydrolase 3
FBgn0051496,CG31496,CG31496,protein_coding,CG31496
FBgn0037376,Hat1,CG2051,protein_coding,Histone acetyltransferase 1
FBgn0003415,skd,CG9936,protein_coding,skuld
FBgn0266801,CG45263,CG45263,protein_coding,CG45263
FBgn0260713,CG42544,CG42544,protein_coding,CG42544
FBgn0086061,Or-CD8,CR34690,snoRNA,CR34690
FBgn0035076,Ance-5,CG10142,protein_coding,Ance-5
FBgn0050157,Ufsp1,CG30157,protein_coding,UFM1 specific peptidase 1
FBgn0033079,Fmo-2,CG3174,protein_coding,Flavin-containing monooxygenase 2
FBgn0266887,CR45348,CR45348,ncRNA,CR45348
FBgn0266670,Sec5,CG8843,protein_coding,Secretory 5
FBgn0004618,gl,CG7672,protein_coding,glass
FBgn0040064,yip2,CG4600,protein_coding,yippee interacting protein 2
FBgn0037120,CG11247,CG11247,protein_coding,CG11247
FBgn0052438,SMC5,CG32438,protein_coding,Structural maintenance of chromosomes 5
FBgn0051436,CG31436,CG31436,protein_coding,CG31436
FBgn0002938,ninaC,CG5125,protein_coding,neither inactivation nor afterpotential C
FBgn0064117,SLIRP1,CG33714,protein_coding,SRA stem-loop interacting RNA binding protein 1
FBgn0038765,CG4424,CG4424,protein_coding,CG4424
FBgn0264301,CG43779,CG43779,protein_coding,CG43779
FBgn0035849,ERR,CG7404,protein_coding,estrogen-related receptor
FBgn0038438,Der-2,CG14899,protein_coding,Derlin-2
FBgn0034293,CG14495,CG14495,protein_coding,CG14495
FBgn0261552,ps,CG42670,protein_coding,pasilla
FBgn0261808,cu,CG31299,protein_coding,curled
FBgn0037936,CG6908,CG6908,protein_coding,CG6908
FBgn0267228,CR45668,CR45668,ncRNA,CR45668
FBgn0030346,BORCS5,CG11802,protein_coding,BLOC-1 related complex subunit 5
FBgn0052713,CG32713,CG32713,protein_coding,CG32713
FBgn0036136,Ufd1,CG6233,protein_coding,Ubiquitin fusion-degradation 1-like
FBgn0285925,Fas1,CG6588,protein_coding,Fasciclin 1
FBgn0266435,CG45065,CG45065,protein_coding,CG45065
FBgn0263843,CR43704,CR43704,ncRNA,CR43704
FBgn0032117,FucTB,CG4435,protein_coding,"alpha1,3-fucosyltransferase B"
FBgn0265795,CR44584,CR44584,ncRNA,CR44584
FBgn0266827,CR45289,CR45289,ncRNA,CR45289
FBgn0283431,CR46274,CR46274,pseudogene,CR46274
FBgn0036291,CG10681,CG10681,protein_coding,CG10681
FBgn0004435,Galphaq,CG17759,protein_coding,G protein alpha subunit q
FBgn0038419,CG14879,CG14879,protein_coding,CG14879
FBgn0267783,CR46114,CR46114,ncRNA,CR46114
FBgn0011915,Met-CAT-1-1,CR30255,tRNA,Methionine-CAT 1-1
FBgn0034982,Naa35,CG4065,protein_coding,N(alpha)-acetyltransferase 35
FBgn0263130,CR43372,CR43372,ncRNA,CR43372
FBgn0017448,CG2187,CG2187,protein_coding,CG2187
FBgn0267074,CR45518,CR45518,ncRNA,CR45518
FBgn0039305,CG11858,CG11858,protein_coding,CG11858
FBgn0051065,ppk31,CG31065,protein_coding,pickpocket 31
FBgn0028484,Ack,CG14992,protein_coding,Activated Cdc42 kinase
FBgn0052074,CG32074,CG32074,protein_coding,CG32074
FBgn0262604,CR43130,CR43130,ncRNA,CR43130
FBgn0052362,Leu-CAG-1-6,CR32362,tRNA,Leucine-CAG 1-6
FBgn0266003,CR44777,CR44777,ncRNA,CR44777
FBgn0263520,mir-4945,CR43505,ncRNA,mir-4945 stem loop
FBgn0039876,CG2126,CG2126,protein_coding,CG2126
FBgn0261403,sxc,CG10392,protein_coding,super sex combs
FBgn0262338,mir-2499,CR43045,ncRNA,mir-2499 stem loop
FBgn0031196,Cluap1,CG17599,protein_coding,Clusterin associated protein 1
FBgn0036766,CG5506,CG5506,protein_coding,CG5506
FBgn0020546,iab4,CR31271,ncRNA,iab4
FBgn0023172,RhoGEF2,CG9635,protein_coding,Rho guanine nucleotide exchange factor 2
FBgn0039752,CG15530,CG15530,protein_coding,CG15530
FBgn0083976,CG34140,CG34140,protein_coding,CG34140
FBgn0025802,Sbf,CG6939,protein_coding,SET domain binding factor
FBgn0036596,CG13045,CG13045,protein_coding,CG13045
FBgn0261974,Or-CD9b,CR42805,snoRNA,CR42805
FBgn0026384,Or59a,CG9820,protein_coding,Odorant receptor 59a
FBgn0031356,CG17660,CG17660,protein_coding,CG17660
FBgn0034013,unc-5,CG8166,protein_coding,unc-5
FBgn0039282,Bili,CG11848,protein_coding,Band4.1 inhibitor LRP interactor
FBgn0267109,CR45549,CR45549,ncRNA,CR45549
FBgn0053894,CG33894,CG33894,protein_coding,CG33894
FBgn0062449,CG13197,CG13197,protein_coding,CG13197
FBgn0265315,CR44288,CR44288,ncRNA,CR44288
FBgn0286031,CR46351,CR46351,ncRNA,CR46351
FBgn0261446,CG13377,CG13377,protein_coding,CG13377
FBgn0086660,Psi28S-1837a,CR33652,snoRNA,Psi28S-1837a
FBgn0012024,Tyr-GTA-1-8,CR31435,tRNA,Tyrosine-GTA 1-8
FBgn0036816,Indy,CG3979,protein_coding,I'm not dead yet
FBgn0038397,CG10185,CG10185,protein_coding,CG10185
FBgn0027932,Akap200,CG13388,protein_coding,A kinase anchor protein 200
FBgn0264264,CR43764,CR43764,ncRNA,CR43764
FBgn0266383,CR45025,CR45025,ncRNA,CR45025
FBgn0025592,Gk1,CG18374,protein_coding,Glycerol kinase 1
FBgn0026369,Sara,CG15667,protein_coding,Smad anchor for receptor activation
FBgn0262391,mir-184,CR42925,ncRNA,mir-184 stem loop
FBgn0284237,CG46321,CG46321,protein_coding,CG46321
FBgn0052718,CG32718,CG32718,protein_coding,CG32718
FBgn0262518,Rab8,CG8287,protein_coding,Rab8
FBgn0028554,x16,CG10203,protein_coding,x16 splicing factor
FBgn0028744,CG5033,CG5033,protein_coding,CG5033
FBgn0031463,G6P,CG15400,protein_coding,Glucose-6-Phosphatase
FBgn0260742,CG12213,CG12213,protein_coding,CG12213
FBgn0028944,Semp1,CG11864,protein_coding,Seminal metalloprotease-1
FBgn0002036,CG10561,CG10561,protein_coding,CG10561
FBgn0038236,Cyp313a1,CG3360,protein_coding,Cytochrome P450 313a1
FBgn0053444,CR33444,CR33444,rRNA,CR33444
FBgn0010019,Cyp4g1,CG3972,protein_coding,Cytochrome P450 4g1
FBgn0046885,Gr98d,CG31061,protein_coding,Gustatory receptor 98d
FBgn0267613,CR45951,CR45951,ncRNA,CR45951
FBgn0050488,antr,CG30488,protein_coding,antares
FBgn0020445,E23,CG3327,protein_coding,Early gene at 23
FBgn0020371,Tim17b2,CG15257,protein_coding,Translocase inner membrane 17
FBgn0262475,bru2,CG43065,protein_coding,bruno 2
FBgn0266615,CG45122,CG45122,protein_coding,CG45122
FBgn0262436,mir-310,CR42995,ncRNA,mir-310 stem loop
FBgn0034527,CG9945,CG9945,protein_coding,CG9945
FBgn0040899,CG17776,CG17776,protein_coding,CG17776
FBgn0267778,CR46109,CR46109,ncRNA,CR46109
FBgn0000250,cact,CG5848,protein_coding,cactus
FBgn0034476,Toll-7,CG8595,protein_coding,Toll-7
FBgn0267573,CR45913,CR45913,ncRNA,CR45913
FBgn0052639,CG32639,CG32639,protein_coding,CG32639
FBgn0037856,Leash,CG4674,protein_coding,Leash
FBgn0035385,FMRFaR,CG2114,protein_coding,FMRFamide Receptor
FBgn0015561,unpg,CG1650,protein_coding,unplugged
FBgn0261806,CG42752,CG42752,protein_coding,CG42752
FBgn0265295,CR42871,CR42871,ncRNA,CR42871
FBgn0004101,bs,CG3411,protein_coding,blistered
FBgn0031320,CG5126,CG5126,protein_coding,CG5126
FBgn0259239,CG42337,CG42337,protein_coding,CG42337
FBgn0265850,CR44639,CR44639,ncRNA,CR44639
